質問ID,質問タイトル,政党名,エントロピー
19,女系天皇が皇位を継承すること賛否,共産,0.0
19,女系天皇が皇位を継承すること賛否,参政,0.0
19,女系天皇が皇位を継承すること賛否,国民,1.3663146570363984
19,女系天皇が皇位を継承すること賛否,立民,1.2359294577833526
19,女系天皇が皇位を継承すること賛否,維新,0.9055872616982602
19,女系天皇が皇位を継承すること賛否,自民,0.934245309447045
20,原子力発電の依存度をどうすべきか,れいわ,0.0
20,原子力発電の依存度をどうすべきか,共産,0.0
20,原子力発電の依存度をどうすべきか,参政,0.0
20,原子力発電の依存度をどうすべきか,国民,1.9056390622295662
20,原子力発電の依存度をどうすべきか,立民,1.2512422356657371
20,原子力発電の依存度をどうすべきか,維新,1.6879430945989
20,原子力発電の依存度をどうすべきか,自民,1.5127030333392155
21,再エネの割合をどうすべきか,れいわ,0.5916727785823274
21,再エネの割合をどうすべきか,共産,0.0
21,再エネの割合をどうすべきか,参政,0.0
21,再エネの割合をどうすべきか,国民,1.805036532577266
21,再エネの割合をどうすべきか,立民,1.0713702041610322
21,再エネの割合をどうすべきか,維新,1.0529815751302696
21,再エネの割合をどうすべきか,自民,1.3862922075820372
22,選択的夫婦別姓の賛否,れいわ,0.0
22,選択的夫婦別姓の賛否,共産,0.0
22,選択的夫婦別姓の賛否,参政,0.0
22,選択的夫婦別姓の賛否,国民,0.3372900666170139
22,選択的夫婦別姓の賛否,立民,0.15935006268563445
22,選択的夫婦別姓の賛否,維新,1.2309595631140104
22,選択的夫婦別姓の賛否,自民,1.5823848906242048
23,同性婚の賛否,れいわ,0.0
23,同性婚の賛否,共産,0.0
23,同性婚の賛否,参政,0.0
23,同性婚の賛否,国民,1.4197367178034828
23,同性婚の賛否,立民,0.6025148591007898
23,同性婚の賛否,維新,1.429473298359841
23,同性婚の賛否,自民,1.4199528225334757
24,クオータ制の賛否,れいわ,0.0
24,クオータ制の賛否,共産,0.0
24,クオータ制の賛否,参政,0.0
24,クオータ制の賛否,国民,1.4772170014624826
24,クオータ制の賛否,立民,0.6737202197554014
24,クオータ制の賛否,維新,1.3382689280764646
24,クオータ制の賛否,自民,1.557838912477895
